"Date and Time,""Merchant ID"",""Merchant Name"",""Transaction Type"",""Payment Channel"",""Ayolinx Transaction ID"",""Partner Refference Number"",""Transaction Amount"",""Admin Fee"",""VAT Type"",VAT(11%),""Transaction Settled"",""Transaction Status"",""Settlement Status"",""Merchant Transaction ID"",""Merchant Refference Number"",""Shop ID"",""Settlement Type"",""Create Time"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",d76a3564442245c0a08204c717568e12,1p84b0599017,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443429915702488363802311,CDeqnjZhcL9rMzt5HbVNoY6XvyfERJ2PwuWBKsxS7AFmUpidaT38g4WQMZuH6TmH,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",776872abe09f4a108df82067de765bfa,1p84b0h80953,30000.00000000,189.20000000,Include,20.800000,29790,Success,Settled,PAYIN45443429490819486574667983,tkCpRgnx5XAT4QZHm87cfhVyLjr2aDBG9dJEsqz6NUwFbSWPMoue34WQMZuKUMsr,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",5717cd5edab04d3cb68914d151428d59,019642749662,30000.00000000,189.20000000,Include,20.800000,29790,Success,Settled,PAYIN45443417789969620611094310,pDPfWmtYFogkXZ5aEiBSHerysn3b8Aj2CxNG7wvQz4UKJdVLRu6hc4WQMZun6nPt,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",c068a0ddbb354796996bbd1efe1d2db7,019658863277,20000.00000000,126.10000000,Include,13.900000,19860,Success,Settled,PAYIN45443398434934376648058688,nPXeQzm7DLF84ktVBchwp6HiSMWRZ2qKEJx5NGybfrYag3Uus9ojA4WQMZvdZs46,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",8928f590871841abb23393db200dd210,010000HY00MR,70000.00000000,441.40000000,Include,48.600000,69510,Success,Settled,PAYIN45443367127810463365986649,9eGXvUi4FSBTtDkcaMLHrKz6CZwd2jpbu8sYqhn3VA7of5mWREQxJ4WQMZvnK93p,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",b9c3b94f77a6475a912de18f45213840,010000HY04M3,29400.00000000,185.40000000,Include,20.400000,29194.2,Success,Settled,PAYIN45443424507986333235363186,czth6WwHPZ7spoDBSRJ9ryFjdUG5aYug8VT2Q4bem3LAnkNxKvECq4WQMZwTr2Jn,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",400406a73e7546f0880fc04c731d9bc1,019562188278,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443420400923855450875234,APfgUcvX6s2xNSkY8M53rG4qQDZd9jEyKaLwHtenBTCRWumbVzhFo4WQMZwVqGXZ,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",c00aa0bcd0ab4257832e5eeecc86d901,1p84b0u16727,25000.00000000,157.70000000,Include,17.300000,24825,Success,Settled,PAYIN45443423471154384166699407,kfUmyeTJoxzbBWQcNRDPhAtKYMVFw65GZ7i2SLqa98XgCsj3HuprE4WQMZwpWjiZ,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",31f37353a6424073bc0ba23e0ab3f658,1p84b0t19487,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443402117533296574906545,75Y9iwPfjpsAb3EMtBvxrk2qu6ynXDTcKQZzRSoUHLN4gFed8VaWG4WQMZxBP9uV,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",4e9a6ed427824d949e65d50da1db8a68,29d403ff6811,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443413683326570820791794,erkmHcCPGyvVQST5JadBn84j6WgoRZKizhwLuXYNp9MDqsF7Abtfx4WQMZxa37Pr,,Sameday,""2026-06-08 00:00:02"""
